年,生产厂家,新编码,新名称,新规格型号,客户名称,销售数量,销售含税总价,采购含税总价,采购含税单价,销售含税单价,返利金额,总毛利,大类,地区,毛利率
2018年,乐普(北京)医疗器械股份有限公司,14009543,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2729,昆明医科大学第一附属医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009543,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2729,曲靖市第二人民医院,4,46000,17848,4462,11500,,28152,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009543,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2729,曲靖市第一人民医院,9,103500,40158,4462,11500,,63342,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009543,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2729,文山市人民医院,1,11613.44,4462,4462,11613.44,,7151.44,支架,云南,61.58%
2018年,乐普(北京)医疗器械股份有限公司,14009543,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2729,云南省第一人民医院,13,150899.71,58006,4462,11607.67,,92893.71,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009545,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2736,昆明市第一人民医院,7,80610,31234,4462,11515.71,,49376,支架,云南,61.25%
2018年,乐普(北京)医疗器械股份有限公司,14009545,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2736,昆明医科大学第二附属医院,5,57500,22310,4462,11500,,35190,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009545,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2736,昆明医科大学第一附属医院,3,34500,13386,4462,11500,,21114,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009545,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2736,昆明医科大学第一附属医院呈贡医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009545,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2736,曲靖市第二人民医院,8,92000,35696,4462,11500,,56304,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009545,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2736,曲靖市第一人民医院,5,57500,22310,4462,11500,,35190,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009545,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2736,文山市人民医院,1,11613.44,4462,4462,11613.44,,7151.44,支架,云南,61.58%
2018年,乐普(北京)医疗器械股份有限公司,14009545,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2736,云南省第一人民医院,54,607115.31,240948,4462,11242.88,,366167.31,支架,云南,60.31%
2018年,乐普(北京)医疗器械股份有限公司,14009547,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3012,昆明市第一人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009547,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3012,昆明医科大学第二附属医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009547,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3012,昆明医科大学第一附属医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009547,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3012,曲靖市第二人民医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009547,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3012,曲靖市第一人民医院,3,34500,13386,4462,11500,,21114,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009547,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3012,云南省第一人民医院,3,34823.01,13386,4462,11607.67,,21437.01,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009548,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3015,昆明市第一人民医院,4,46220,17848,4462,11555,,28372,支架,云南,61.38%
2018年,乐普(北京)医疗器械股份有限公司,14009548,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3015,昆明医科大学第二附属医院,4,46000,17848,4462,11500,,28152,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009548,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3015,昆明医科大学第一附属医院,4,46000,17848,4462,11500,,28152,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009548,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3015,昆明医科大学第一附属医院呈贡医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009548,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3015,曲靖市第二人民医院,7,80500,31234,4462,11500,,49266,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009548,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3015,曲靖市第一人民医院,3,34500,13386,4462,11500,,21114,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009548,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3015,云南省第一人民医院,8,92861.36,35696,4462,11607.67,,57165.36,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009550,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3018,昆明市第一人民医院,6,69000,26772,4462,11500,,42228,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009550,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3018,昆明医科大学第二附属医院,10,115000,44620,4462,11500,,70380,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009550,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3018,昆明医科大学第一附属医院,4,46000,17848,4462,11500,,28152,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009550,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3018,昆明医科大学第一附属医院呈贡医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009550,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3018,曲靖市第二人民医院,10,115000,44620,4462,11500,,70380,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009550,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3018,曲靖市第一人民医院,8,92000,35696,4462,11500,,56304,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009550,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3018,云南省第一人民医院,11,127683.37,49082,4462,11607.58,,78601.37,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009551,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3021,昆明市第一人民医院,3,34500,13386,4462,11500,,21114,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009552,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3024,大理大学第一附属医院,1,14500,4462,4462,14500,,10038,支架,云南,69.23%
2018年,乐普(北京)医疗器械股份有限公司,14009552,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3024,昆明市第一人民医院,5,57720,22310,4462,11544,,35410,支架,云南,61.35%
2018年,乐普(北京)医疗器械股份有限公司,14009552,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3024,昆明医科大学第二附属医院,7,80500,31234,4462,11500,,49266,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009552,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3024,昆明医科大学第一附属医院,4,46000,17848,4462,11500,,28152,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009552,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3024,曲靖市第二人民医院,6,69000,26772,4462,11500,,42228,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009552,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3024,曲靖市第一人民医院,21,241500,93702,4462,11500,,147798,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009552,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3024,文山市人民医院,1,11613.44,4462,4462,11613.44,,7151.44,支架,云南,61.58%
2018年,乐普(北京)医疗器械股份有限公司,14009552,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3024,云南省第一人民医院,13,150897.71,58006,4462,11607.52,,92891.71,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009553,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3029,昆明市第一人民医院,7,80610,31234,4462,11515.71,,49376,支架,云南,61.25%
2018年,乐普(北京)医疗器械股份有限公司,14009553,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3029,昆明医科大学第二附属医院,6,69000,26772,4462,11500,,42228,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009553,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3029,昆明医科大学第一附属医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009553,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3029,曲靖市第二人民医院,6,69000,26772,4462,11500,,42228,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009553,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3029,曲靖市第一人民医院,8,92000,35696,4462,11500,,56304,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009553,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3029,云南省第一人民医院,15,177695.05,66930,4462,11846.34,,110765.05,支架,云南,62.33%
2018年,乐普(北京)医疗器械股份有限公司,14009555,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3036,昆明市第一人民医院,16,184220,71392,4462,11513.75,,112828,支架,云南,61.25%
2018年,乐普(北京)医疗器械股份有限公司,14009555,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3036,昆明医科大学第二附属医院,7,80500,31234,4462,11500,,49266,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009555,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3036,昆明医科大学第一附属医院,5,57500,22310,4462,11500,,35190,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009555,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3036,曲靖市第二人民医院,6,69000,26772,4462,11500,,42228,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009555,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3036,曲靖市第一人民医院,13,149500,58006,4462,11500,,91494,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009555,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3036,文山市人民医院,1,11613.44,4462,4462,11613.44,,7151.44,支架,云南,61.58%
2018年,乐普(北京)医疗器械股份有限公司,14009555,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3036,云南省第一人民医院,46,533952.82,205252,4462,11607.67,,328700.82,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009556,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3512,昆明市第一人民医院,1,11610,4462,4462,11610,,7148,支架,云南,61.57%
2018年,乐普(北京)医疗器械股份有限公司,14009556,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3512,昆明市延安医院,0,0,0,4462,#DIV/0!,,0,支架,云南,#DIV/0!
2018年,乐普(北京)医疗器械股份有限公司,14009556,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3512,昆明医科大学第二附属医院,3,34500,13386,4462,11500,,21114,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009556,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3512,昆明医科大学第一附属医院,4,46000,17848,4462,11500,,28152,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009556,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3512,曲靖市第二人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009556,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3512,曲靖市第一人民医院,8,92000,35696,4462,11500,,56304,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009556,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3512,云南省第一人民医院,2,23215.34,8924,4462,11607.67,,14291.34,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009557,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3515,昆明市第一人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009557,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3515,昆明医科大学第二附属医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009557,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3515,曲靖市第二人民医院,6,69000,26772,4462,11500,,42228,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009557,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3515,曲靖市第一人民医院,5,57500,22310,4462,11500,,35190,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009557,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3515,云南省第一人民医院,6,73165.49,26772,4462,12194.25,,46393.49,支架,云南,63.41%
2018年,乐普(北京)医疗器械股份有限公司,14009558,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3518,昆明市第一人民医院,4,46110,17848,4462,11527.5,,28262,支架,云南,61.29%
2018年,乐普(北京)医疗器械股份有限公司,14009558,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3518,昆明医科大学第二附属医院,4,46000,17848,4462,11500,,28152,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009558,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3518,昆明医科大学第一附属医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009558,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3518,曲靖市第二人民医院,7,80500,31234,4462,11500,,49266,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009558,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3518,曲靖市第一人民医院,4,46000,17848,4462,11500,,28152,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009558,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3518,云南省第一人民医院,7,81253.69,31234,4462,11607.67,,50019.69,支架,云南,61.56%
2018年,乐普(北京)医疗器械股份有限公司,14009559,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS3521,昆明市第一人民医院,2,23220,8924,4462,11610,,14296,支架,云南,61.57%
2018年,乐普(北京)医疗器械股份有限公司,14009560,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2515,昆明市第一人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009560,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2515,昆明医科大学第二附属医院,1,9052.5,4462,4462,9052.5,,4590.5,支架,云南,50.71%
2018年,乐普(北京)医疗器械股份有限公司,14009560,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2515,昆明医科大学第一附属医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2018年,乐普(北京)医疗器械股份有限公司,14009560,血管内无载体含药(雷帕霉素)洗脱支架系统,LPRPS2515,曲靖市第二人民医院,9,103500,40158,4462,11500,,63342,支架,云南,61.20%
